TransactionID,CustomerID,CustomerName,CustomerDOB,CustAccountBalance,LoanAmount,CustomerEmail,CustLocation,TotalAmountPaid,LoanDuration,LoanRate,LoanSanctDate,LastCycleDate,IssuerBank,LoanEndDate,RemainingLoan
5400070,445295,Kismat Sekhon,26-11-1987,791863,3711997,kismat.sekhon@gmail.com,Arunachal Pradesh,169414,15,6.6,12-11-2018,15-03-2022,AXIS,08-11-2033,3542583
5400071,474396,Kimaya Lalla,01-06-1984,472296,4370138,kimaya.lalla@gmail.com,Nagaland,683100,20,6.7,16-05-2019,15-03-2022,IDBI,11-05-2039,3687038
5400072,408884,Zain Doshi,16-04-1983,227749,4531219,zain.doshi@gmail.com,Telangana,719378,20,7.9,11-02-2019,07-03-2022,SBI,06-02-2039,3811841
5400073,526462,Faiyaz Kadakia,20-11-1987,221311,4607415,faiyaz.kadakia@gmail.com,Telangana,780084,5,5.9,09-07-2019,07-03-2022,IDBI,07-07-2024,3827331
5400074,400537,Biju Tailor,07-05-1987,184268,1930926,biju.tailor@gmail.com,Maharashtra,345924,20,7.8,27-09-2020,21-03-2022,SBI,22-09-2040,1585002
5400075,449124,Zaina Rastogi,15-10-1986,124640,3994600,zaina.rastogi@gmail.com,Andhra Pradesh,323134,15,7.7,21-09-2018,21-03-2022,ICICI,17-09-2033,3671466
5400076,492938,Hansh Sha,28-10-1993,133648,3350392,hansh.sha@gmail.com,Manipur,534038,10,6.9,25-06-2019,21-03-2022,CANARA,22-06-2029,2816354
5400077,524608,Zeeshan Sama,04-02-1997,804401,1344533,zeeshan.sama@gmail.com,Punjab,775309,10,6.5,30-10-2020,01-03-2022,CITI,28-10-2030,569224
5400078,408589,Ivana Borra,02-04-1994,702766,3141015,ivana.borra@gmail.com,Bihar,297434,15,7.4,04-04-2020,07-03-2022,HDFC,01-04-2035,2843581
5400079,419184,Tushar Goda,08-01-1989,626304,3127045,tushar.goda@gmail.com,Jharkhand,435357,15,6.9,07-11-2018,15-03-2022,CITI,03-11-2033,2691688
5400080,521130,Heer Kara,20-06-1988,711477,2678513,heer.kara@gmail.com,Uttarakhand,545888,15,8.1,02-08-2018,01-03-2022,ICICI,29-07-2033,2132625
5400081,477704,Ahana  Ramesh,01-01-1985,958949,2496968,ahana.ramesh@gmail.com,Madhya Pradesh,344718,5,8.1,18-08-2018,15-03-2022,CITI,17-08-2023,2152250
5400082,450520,Indranil Hora,28-09-1985,780187,3045664,indranil.hora@gmail.com,Chhattisgarh,400972,10,6.8,01-03-2020,01-03-2022,SBI,27-02-2030,2644692
5400083,451901,Gatik Ram,13-04-1997,602115,2130897,gatik.ram@gmail.com,Maharashtra,657606,20,7.5,26-04-2018,01-03-2022,ICICI,21-04-2038,1473291
5400084,535020,Reyansh Sarna,21-12-1987,382229,2575483,reyansh.sarna@gmail.com,Jharkhand,399360,15,6.4,20-09-2018,07-03-2022,ICICI,16-09-2033,2176123
5400085,591993,Samiha Deol,25-01-1994,733226,3022868,samiha.deol@gmail.com,Haryana,239173,15,6.4,26-01-2020,15-03-2022,HDFC,22-01-2035,2783695
5400086,451240,Aayush Hayer,02-09-1988,640857,2644072,aayush.hayer@gmail.com,Maharashtra,603328,5,5.9,29-09-2018,21-03-2022,ICICI,28-09-2023,2040744
5400087,595573,Samaira Deshmukh,07-12-1994,591180,3318558,samaira.deshmukh@gmail.com,Uttar Pradesh,712291,20,6.8,25-11-2020,21-03-2022,SBI,20-11-2040,2606267
5400088,456067,Shlok Jain,25-05-1983,544374,4473764,shlok.jain@gmail.com,West Bengal,565098,5,6.7,09-10-2020,21-03-2022,HDFC,08-10-2025,3908666
5400089,423888,Tejas Krishnamurthy,11-08-1994,788465,3824642,tejas.krishnamurthy@gmail.com,Rajasthan,302624,10,6.5,03-06-2018,01-03-2022,SBI,31-05-2028,3522018
5400090,499052,Faiyaz Kohli,30-05-1983,184761,1709856,faiyaz.kohli@gmail.com,Rajasthan,311316,10,8.1,09-11-2019,01-03-2022,AXIS,06-11-2029,1398540
5400091,510423,Damini Tara,06-03-1993,825309,4026965,damini.tara@gmail.com,Jharkhand,804667,15,7.8,14-07-2018,01-03-2022,CITI,10-07-2033,3222298
5400092,554905,Riya Wagle,13-06-1988,978524,2170197,riya.wagle@gmail.com,Jharkhand,193645,20,6,16-01-2019,07-03-2022,CANARA,11-01-2039,1976552
5400093,454941,Dharmajan Shanker,28-10-1995,961856,2763805,dharmajan.shanker@gmail.com,Uttarakhand,207819,5,6.2,12-02-2021,01-03-2022,IDBI,11-02-2026,2555986
5400094,514541,Aarna Joshi,16-06-1990,562559,1971005,aarna.joshi@gmail.com,Madhya Pradesh,791664,20,6.3,11-12-2020,15-03-2022,CANARA,06-12-2040,1179341
5400095,443706,Onkar Mann,08-12-1994,852018,2678557,onkar.mann@gmail.com,Uttarakhand,179344,15,7.5,10-12-2019,15-03-2022,IDBI,06-12-2034,2499213
5400096,531350,Rasha Joshi,01-12-1988,911550,3750007,rasha.joshi@gmail.com,Madhya Pradesh,223195,15,8,08-05-2018,07-03-2022,CITI,04-05-2033,3526812
5400097,586172,Amani Raval,21-03-1991,597458,3816751,amani.raval@gmail.com,Himachal Pradesh,758363,15,5.9,20-05-2018,21-03-2022,AXIS,16-05-2033,3058388
5400098,533759,Inaaya  Kibe,05-07-1987,829662,3357836,inaaya.kibe@gmail.com,Arunachal Pradesh,230451,15,7.6,06-12-2018,21-03-2022,CANARA,02-12-2033,3127385
5400099,453207,Aayush Chowdhury,23-02-1994,443558,2852836,aayush.chowdhury@gmail.com,Karnataka,807004,20,7.9,23-09-2020,07-03-2022,CITI,18-09-2040,2045832
5400100,586441,Ela Chahal,19-11-1983,902596,4979755,ela.chahal@gmail.com,Manipur,512704,5,6.6,01-02-2021,01-03-2022,CANARA,31-01-2026,4467051
5400101,453722,Vihaan Ramanathan,18-01-1990,225468,3336709,vihaan.ramanathan@gmail.com,Chhattisgarh,395459,5,7.9,25-11-2018,15-03-2022,AXIS,24-11-2023,2941250
5400102,429354,Badal Lal,12-11-1987,711761,4345959,badal.lal@gmail.com,Himachal Pradesh,737649,15,6,12-01-2020,15-03-2022,PNB,08-01-2035,3608310
5400103,585174,Shalv Mall,15-03-1993,889163,3061722,shalv.mall@gmail.com,Mizoram,493742,20,7.4,28-09-2020,21-03-2022,SBI,23-09-2040,2567980
5400104,491350,Dhruv Hayre,09-06-1993,241456,2946655,dhruv.hayre@gmail.com,Goa,787819,5,7,16-01-2019,01-03-2022,IDBI,15-01-2024,2158836
5400105,570666,Ishaan Dhawan,23-09-1996,387649,1389661,ishaan.dhawan@gmail.com,Kerala,708588,15,6.5,10-11-2018,15-03-2022,CANARA,06-11-2033,681073
5400106,587107,Advika Ganguly,04-12-1985,321020,4389985,advika.ganguly@gmail.com,Tripura,796998,15,6.9,01-06-2020,15-03-2022,ICICI,29-05-2035,3592987
5400107,457661,Anika Sem,13-11-1985,299867,1417632,anika.sem@gmail.com,Nagaland,505214,10,5.8,01-08-2019,21-03-2022,IDBI,29-07-2029,912418
5400108,540131,Stuvan Sharaf,16-09-1989,809215,4280291,stuvan.sharaf@gmail.com,Maharashtra,790289,5,7.2,21-01-2019,07-03-2022,CANARA,20-01-2024,3490002
5400109,558031,Taimur Bhat,11-06-1995,256622,1032627,taimur.bhat@gmail.com,Uttarakhand,538957,15,7.6,21-11-2020,15-03-2022,ICICI,18-11-2035,493670
5400110,468599,Priyansh Vora,26-12-1983,606870,3670764,priyansh.vora@gmail.com,Jharkhand,771377,15,8.1,14-06-2020,01-03-2022,PNB,11-06-2035,2899387
5400111,506260,Shray Vora,31-03-1986,640500,2515128,shray.vora@gmail.com,Mizoram,420904,20,7.4,06-09-2019,07-03-2022,CITI,01-09-2039,2094224
5400112,419805,Drishya Kannan,17-06-1990,447817,3697951,drishya.kannan@gmail.com,Karnataka,358870,5,6.7,12-07-2020,21-03-2022,CANARA,11-07-2025,3339081
5400113,566225,Emir Kale,22-07-1982,871569,3681667,emir.kale@gmail.com,Kerala,662278,15,5.8,06-01-2021,15-03-2022,SBI,03-01-2036,3019389
5400114,473722,Aradhya Kara,30-11-1984,398215,3319092,aradhya.kara@gmail.com,Tamil Nadu,653047,15,6.1,10-10-2018,01-03-2022,AXIS,06-10-2033,2666045
5400115,497679,Manikya Banerjee,07-08-1990,107554,4431361,manikya.banerjee@gmail.com,Punjab,453491,5,6.3,23-04-2019,21-03-2022,AXIS,21-04-2024,3977870
5400116,581153,Alia Krishnan,31-01-1994,744841,2110200,alia.krishnan@gmail.com,Arunachal Pradesh,442054,20,6.9,03-02-2021,21-03-2022,PNB,29-01-2041,1668146
5400117,460717,Kiaan Brar,21-07-1995,391670,1431363,kiaan.brar@gmail.com,Manipur,716778,15,6.1,03-02-2019,01-03-2022,HDFC,30-01-2034,714585
5400118,529717,Tarini Sen,18-11-1992,301857,3933957,tarini.sen@gmail.com,Sikkim,684838,20,8.1,20-10-2019,21-03-2022,PNB,15-10-2039,3249119
5400119,456424,Mishti Bhargava,20-05-1994,587426,2340753,mishti.bhargava@gmail.com,Telangana,701468,5,6.3,05-01-2020,01-03-2022,AXIS,03-01-2025,1639285
5400120,419749,Jayant Thaker,30-03-1991,223152,2646157,jayant.thaker@gmail.com,Goa,430778,15,5.8,22-08-2018,15-03-2022,AXIS,18-08-2033,2215379
5400121,592837,Parinaaz Majumdar,12-12-1995,584337,1931476,parinaaz.majumdar@gmail.com,Meghalaya,416066,10,7.5,19-11-2019,21-03-2022,HDFC,16-11-2029,1515410
5400122,517802,Shaan Chaudry,03-12-1996,483786,1630901,shaan.chaudry@gmail.com,Telangana,786748,5,8,03-06-2020,07-03-2022,IDBI,02-06-2025,844153
5400123,413812,Neelofar Tank,25-04-1993,854604,2909794,neelofar.tank@gmail.com,Uttar Pradesh,731053,10,7.8,13-06-2020,21-03-2022,CANARA,11-06-2030,2178741
5400124,444270,Aayush Ramachandran,09-12-1985,491746,4212600,aayush.ramachandran@gmail.com,Kerala,188357,20,6.2,20-09-2018,07-03-2022,CANARA,15-09-2038,4024243
5400125,579006,Renee Mane,06-06-1996,736819,4443227,renee.mane@gmail.com,Andhra Pradesh,257978,10,5.9,24-04-2018,21-03-2022,CITI,21-04-2028,4185249
5400126,540882,Fateh Dar,05-10-1989,140007,1314713,fateh.dar@gmail.com,Rajasthan,288278,5,6.8,02-10-2019,01-03-2022,SBI,30-09-2024,1026435
5400127,509957,Keya Chawla,20-08-1982,763686,2806406,keya.chawla@gmail.com,Rajasthan,313125,15,5.8,02-10-2018,07-03-2022,HDFC,28-09-2033,2493281
5400128,442108,Tarini Dara,09-10-1995,360701,2822135,tarini.dara@gmail.com,Haryana,356815,10,7.6,07-08-2019,01-03-2022,SBI,04-08-2029,2465320
5400129,499520,Divij Thaker,01-04-1987,588085,2463891,divij.thaker@gmail.com,Maharashtra,402627,10,8.1,21-10-2019,01-03-2022,PNB,18-10-2029,2061264
5400130,575903,Lagan Wason,27-02-1985,800144,4807925,lagan.wason@gmail.com,Tamil Nadu,418141,5,7.4,30-03-2020,01-03-2022,ICICI,29-03-2025,4389784
5400131,551546,Fateh Sarin,20-08-1989,426689,2773118,fateh.sarin@gmail.com,Uttar Pradesh,820798,15,7.9,21-11-2019,15-03-2022,CITI,17-11-2034,1952320
5400132,527040,Sahil Konda,01-06-1993,934515,3978989,sahil.konda@gmail.com,Nagaland,739661,15,6.8,20-04-2020,21-03-2022,HDFC,17-04-2035,3239328
5400133,507383,Navya Kakar,20-06-1996,408009,3124839,navya.kakar@gmail.com,Odisha,770846,5,7.4,23-05-2020,15-03-2022,HDFC,22-05-2025,2353993
5400134,549764,Vardaniya Jha,18-06-1994,325057,3419798,vardaniya.jha@gmail.com,Chhattisgarh,353913,10,7.3,31-03-2020,15-03-2022,ICICI,29-03-2030,3065885
5400135,583522,Shalv Sampath,15-01-1990,524414,4851583,shalv.sampath@gmail.com,Nagaland,589830,15,5.9,03-12-2020,21-03-2022,HDFC,30-11-2035,4261753
5400136,593843,Sahil Thakur,28-06-1985,512977,1324332,sahil.thakur@gmail.com,Madhya Pradesh,799504,5,7.6,25-01-2019,07-03-2022,ICICI,24-01-2024,524828
5400137,411619,Aaryahi Lad,20-02-1985,708136,3479808,aaryahi.lad@gmail.com,Jharkhand,379084,10,6.5,17-03-2019,15-03-2022,ICICI,14-03-2029,3100724
5400138,564675,Romil Ramesh,25-07-1987,486641,1181176,romil.ramesh@gmail.com,Andhra Pradesh,549037,5,7.2,02-05-2018,01-03-2022,SBI,01-05-2023,632139
5400139,457188,Raghav Khanna,22-02-1987,643629,3147749,raghav.khanna@gmail.com,Manipur,341838,5,8,08-05-2019,21-03-2022,CITI,06-05-2024,2805911
5400140,498589,Sara Salvi,19-12-1993,638384,3909445,sara.salvi@gmail.com,Assam,848968,15,6.4,19-04-2018,07-03-2022,IDBI,15-04-2033,3060477
5400141,454615,Nitya Ben,19-05-1984,790154,4206610,nitya.ben@gmail.com,Meghalaya,455747,20,6,02-02-2020,21-03-2022,IDBI,28-01-2040,3750863
5400142,467697,Samarth Balay,11-06-1990,494530,2427689,samarth.balay@gmail.com,Haryana,434382,10,7.1,06-04-2021,07-03-2022,AXIS,04-04-2031,1993307
5400143,480391,Anya Saha,22-07-1988,968544,3820026,anya.saha@gmail.com,Andhra Pradesh,578075,10,6,21-10-2020,15-03-2022,IDBI,19-10-2030,3241951
5400144,432492,Kaira Sunder,24-09-1994,747398,2682677,kaira.sunder@gmail.com,Haryana,768242,10,6.9,18-11-2020,15-03-2022,CITI,16-11-2030,1914435
5400145,547910,Tushar Vasa,22-04-1987,255859,4085310,tushar.vasa@gmail.com,Himachal Pradesh,296274,10,6.7,21-10-2019,07-03-2022,ICICI,18-10-2029,3789036
5400146,547702,Aarna Tripathi,13-10-1986,691158,1507080,aarna.tripathi@gmail.com,Himachal Pradesh,246902,10,8,01-12-2018,01-03-2022,PNB,28-11-2028,1260178
5400147,553693,Vritika Chauhan,21-09-1984,209731,1460609,vritika.chauhan@gmail.com,Tripura,409621,5,7.8,08-11-2018,15-03-2022,CANARA,07-11-2023,1050988
5400148,554124,Amani Dasgupta,08-10-1994,709427,2824526,amani.dasgupta@gmail.com,Madhya Pradesh,612714,5,6.5,07-09-2020,21-03-2022,AXIS,06-09-2025,2211812
5400149,508368,Nishith Raja,10-12-1987,386710,3619500,nishith.raja@gmail.com,Maharashtra,545500,15,7.8,11-11-2020,07-03-2022,SBI,08-11-2035,3074000
5400150,461778,Dhruv Ben,11-02-1993,968913,1278690,dhruv.ben@gmail.com,Chhattisgarh,575594,10,7.3,18-03-2019,01-03-2022,AXIS,15-03-2029,703096
5400151,504347,Kartik Singhal,14-08-1984,621503,3487384,kartik.singhal@gmail.com,Kerala,609182,5,7.8,18-08-2020,21-03-2022,IDBI,17-08-2025,2878202
5400152,455617,Hiran Comar,31-10-1987,137623,4287281,hiran.comar@gmail.com,Tamil Nadu,589744,10,6.6,28-11-2020,21-03-2022,AXIS,26-11-2030,3697537
5400153,477510,Jivika Sule,15-06-1990,432868,1029375,jivika.sule@gmail.com,West Bengal,169352,10,6.9,17-06-2018,21-03-2022,CITI,14-06-2028,860023
5400154,471428,Emir Kanda,30-09-1994,741903,1334642,emir.kanda@gmail.com,Tripura,515454,10,5.8,16-06-2018,07-03-2022,CANARA,13-06-2028,819188
5400155,405703,Pari Sehgal,19-12-1995,853679,3594399,pari.sehgal@gmail.com,Himachal Pradesh,441283,10,7.2,26-07-2018,01-03-2022,IDBI,23-07-2028,3153116
5400156,423647,Rohan Madan,18-06-1995,546476,2243363,rohan.madan@gmail.com,Tripura,605850,5,6,01-11-2018,21-03-2022,ICICI,31-10-2023,1637513
5400157,580503,Shanaya Uppal,17-07-1995,805961,1549127,shanaya.uppal@gmail.com,Karnataka,251231,15,6.9,24-12-2018,07-03-2022,SBI,20-12-2033,1297896
5400158,423057,Ishaan Iyer,05-12-1990,148739,3740963,ishaan.iyer@gmail.com,Chhattisgarh,608682,5,7.2,13-06-2018,01-03-2022,AXIS,12-06-2023,3132281
5400159,474072,Priyansh Venkatesh,03-05-1987,744655,3825874,priyansh.venkatesh@gmail.com,Uttar Pradesh,698558,20,7.5,25-01-2021,07-03-2022,HDFC,20-01-2041,3127316
5400160,438957,Sumer Dara,20-04-1996,103187,2635013,sumer.dara@gmail.com,West Bengal,785341,10,7.7,12-03-2020,21-03-2022,CITI,10-03-2030,1849672
5400161,521745,Raghav Handa,30-08-1983,717709,2548777,raghav.handa@gmail.com,Meghalaya,702381,20,5.8,12-08-2018,07-03-2022,AXIS,07-08-2038,1846396
5400162,465677,Shalv Bhatia,16-07-1986,933428,2747041,shalv.bhatia@gmail.com,Bihar,637910,5,7.5,06-12-2019,21-03-2022,SBI,04-12-2024,2109131
5400163,551931,Heer Divan,24-04-1996,109819,1213260,heer.divan@gmail.com,Odisha,516187,15,6.7,15-09-2018,21-03-2022,ICICI,11-09-2033,697073
